,provinsi,kab_kota,kecamatan,url
52,Prov. Jawa Barat,Kab. Bandung,Kec. Margahayu,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020821
53,Prov. Jawa Barat,Kab. Bandung,Kec. Dayeuhkolot,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020822
54,Prov. Jawa Barat,Kab. Bandung,Kec. Ibun,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020807
55,Prov. Jawa Barat,Kab. Bandung,Kec. Margaasih,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020820
56,Prov. Jawa Barat,Kab. Bandung,Kec. Soreang,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020819
57,Prov. Jawa Barat,Kab. Bandung,Kec. Solokanjeruk,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020831
58,Prov. Jawa Barat,Kab. Bandung,Kec. Pasirjambu,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020802
59,Prov. Jawa Barat,Kab. Bandung,Kec. Kutawaringin,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020833
60,Prov. Jawa Barat,Kab. Bandung,Kec. Cikancung,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020809
61,Prov. Jawa Barat,Kab. Bandung,Kec. Kertasari,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020805
62,Prov. Jawa Barat,Kab. Bandung,Kec. Katapang,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020818
63,Prov. Jawa Barat,Kab. Bandung,Kec. Cimaung,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020803
64,Prov. Jawa Barat,Kab. Bandung,Kec. Bojongsoang,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020823
65,Prov. Jawa Barat,Kab. Bandung,Kec. Pameungpeuk,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020817
66,Prov. Jawa Barat,Kab. Bandung,Kec. Ciwidey,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020801
67,Prov. Jawa Barat,Kab. Bandung,Kec. Nagreg,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020830
68,Prov. Jawa Barat,Kab. Bandung,Kec. Rancabali,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020829
69,Prov. Jawa Barat,Kab. Bandung,Kec. Cangkuang,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020832
70,Prov. Jawa Barat,Kab. Bandung,Kec. Cilengkrang,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020825
71,Prov. Jawa Barat,Kab. Cianjur,Kec. Cianjur,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020720
72,Prov. Jawa Barat,Kab. Cianjur,Kec. Karang Tengah,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020719
73,Prov. Jawa Barat,Kab. Cianjur,Kec. Cilaku,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020714
74,Prov. Jawa Barat,Kab. Cianjur,Kec. Cibeber,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020712
75,Prov. Jawa Barat,Kab. Cianjur,Kec. Cugenang,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020721
76,Prov. Jawa Barat,Kab. Cianjur,Kec. Cikalong Kulon,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020724
77,Prov. Jawa Barat,Kab. Cianjur,Kec. Cipanas,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020731
78,Prov. Jawa Barat,Kab. Cianjur,Kec. Cidaun,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020703
79,Prov. Jawa Barat,Kab. Cianjur,Kec. Cibinong,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020705
80,Prov. Jawa Barat,Kab. Cianjur,Kec. Pagelaran,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020710
81,Prov. Jawa Barat,Kab. Cianjur,Kec. Kadupandak,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020707
82,Prov. Jawa Barat,Kab. Cianjur,Kec. Sukaluyu,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020715
83,Prov. Jawa Barat,Kab. Cianjur,Kec. Campaka,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020711
84,Prov. Jawa Barat,Kab. Cianjur,Kec. Naringgul,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020704
85,Prov. Jawa Barat,Kab. Cianjur,Kec. Sindang Barang,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020702
86,Prov. Jawa Barat,Kab. Cianjur,Kec. Ciranjang,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020717
87,Prov. Jawa Barat,Kab. Cianjur,Kec. Bojong Picung,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020725
88,Prov. Jawa Barat,Kab. Cianjur,Kec. Mande,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020718
89,Prov. Jawa Barat,Kab. Cianjur,Kec. Pacet,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020722
90,Prov. Jawa Barat,Kab. Cianjur,Kec. Sukaresmi,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020723
91,Prov. Jawa Barat,Kab. Cianjur,Kec. Cikadu,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020727
92,Prov. Jawa Barat,Kab. Cianjur,Kec. Takokak,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020708
93,Prov. Jawa Barat,Kab. Cianjur,Kec. Warungkondang,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020713
94,Prov. Jawa Barat,Kab. Cianjur,Kec. Cijati,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020729
95,Prov. Jawa Barat,Kab. Cianjur,Kec. Sukanagara,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020709
96,Prov. Jawa Barat,Kab. Cianjur,Kec. Tanggeung,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020706
97,Prov. Jawa Barat,Kab. Cianjur,Kec. Agrabinta,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020701
98,Prov. Jawa Barat,Kab. Cianjur,Kec. Leles,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020728
99,Prov. Jawa Barat,Kab. Cianjur,Kec. Pasirkuda,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020733
100,Prov. Jawa Barat,Kab. Cianjur,Kec. Haurwangi,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020732
101,Prov. Jawa Barat,Kab. Cianjur,Kec. Gekbrong,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020730
102,Prov. Jawa Barat,Kab. Cianjur,Kec. Campaka Mulya,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020726
103,Prov. Jawa Barat,Kab. Sukabumi,Kec. Cicurug,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020623
104,Prov. Jawa Barat,Kab. Sukabumi,Kec. Cibadak,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020621
105,Prov. Jawa Barat,Kab. Sukabumi,Kec. Pelabuhan Ratu,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020611
106,Prov. Jawa Barat,Kab. Sukabumi,Kec. Cisolok,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020629
107,Prov. Jawa Barat,Kab. Sukabumi,Kec. Cisaat,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020620
108,Prov. Jawa Barat,Kab. Sukabumi,Kec. Surade,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020603
109,Prov. Jawa Barat,Kab. Sukabumi,Kec. Nagrak,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020622
110,Prov. Jawa Barat,Kab. Sukabumi,Kec. Cikembar,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020614
111,Prov. Jawa Barat,Kab. Sukabumi,Kec. Jampang Tengah,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020613
112,Prov. Jawa Barat,Kab. Sukabumi,Kec. Jampang Kulon,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020604
113,Prov. Jawa Barat,Kab. Sukabumi,Kec. Ciemas,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020601
114,Prov. Jawa Barat,Kab. Sukabumi,Kec. Cikidang,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020628
115,Prov. Jawa Barat,Kab. Sukabumi,Kec. Simpenan,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020635
116,Prov. Jawa Barat,Kab. Sukabumi,Kec. Parungkuda,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020626
117,Prov. Jawa Barat,Kab. Sukabumi,Kec. Ciracap,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020602
118,Prov. Jawa Barat,Kab. Sukabumi,Kec. Warung Kiara,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020612
119,Prov. Jawa Barat,Kab. Sukabumi,Kec. Nyalindung,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020615
120,Prov. Jawa Barat,Kab. Sukabumi,Kec. Sukaraja,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020617
121,Prov. Jawa Barat,Kab. Sukabumi,Kec. Sagaranten,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020608
122,Prov. Jawa Barat,Kab. Sukabumi,Kec. Gegerbitung,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020616
123,Prov. Jawa Barat,Kab. Sukabumi,Kec. Cicantayan,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020634
124,Prov. Jawa Barat,Kab. Sukabumi,Kec. Cidahu,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020624
