Our Data,Map Data,Lev_ratio,Inter_Ratio,Rank,Rank2
Kab. Boven Digoel,Boven Digoel,0.8275862068965517,1.0,1.0,1.0
Kab. Boyolali,Boyolali,0.7619047619047619,0.9966386554621849,1.0,1.0
Kab. Brebes,Brebes,0.7058823529411765,0.9966555183946488,1.0,1.0
Kab. Buleleng,Buleleng,0.7619047619047619,1.0,1.0,1.0
Kab. Bulukumba,Bulukumba,0.782608695652174,0.997134670487106,1.0,1.0
Kab. Bulungan,Bulungan,0.7619047619047619,0.9858156028368794,1.0,1.0
Kab. Bungo,Bungo,0.6666666666666666,0.9831223628691983,1.0,1.0
Kab. Buol,Buol,0.6153846153846154,1.0,1.0,1.0
Kab. Buru,Buru,0.6153846153846154,0.9791666666666666,1.0,1.0
Kab. Buru Selatan,Buru Selatan,0.8275862068965517,1.0,1.0,1.0
Kab. Buton Utara,Buton Utara,0.8148148148148148,0.9736842105263158,1.0,1.0
Kab. Ciamis,Ciamis,0.7058823529411765,0.9959677419354839,1.0,1.0
Kab. Cianjur,Cianjur,0.7368421052631579,0.9952267303102625,1.0,1.0
Kab. Cilacap,Cilacap,0.7368421052631579,1.0,1.0,1.0
Kab. Cirebon,Cirebon,0.7368421052631579,0.9989235737351991,1.0,1.0
Kab. Asmat,Asmat,0.6666666666666666,0.9473684210526315,1.0,1.0
Kab. Badung,Badung,0.7058823529411765,0.9929577464788732,1.0,1.0
Kab. Balangan,Balangan,0.7619047619047619,0.953757225433526,1.0,1.0
Kab. Bandung,Bandung,0.7368421052631579,0.9929228591648974,1.0,1.0
Kab. Dairi,Dairi,0.6666666666666666,0.9924812030075187,1.0,1.0
Kab. Deiyai,Deiyai,0.7058823529411765,1.0,1.0,1.0
Kab. Deli Serdang,Deli Serdang,0.8275862068965517,0.9491525423728814,1.0,1.0
Kab. Demak,Demak,0.6666666666666666,0.9979757085020243,1.0,1.0
Kab. Dharmasraya,Dharmasraya,0.8148148148148148,1.0,1.0,1.0
Kab. Dogiyai,Dogiyai,0.7368421052631579,1.0,1.0,1.0
Kab. Dompu,Dompu,0.6666666666666666,1.0,1.0,1.0
Kab. Donggala,Donggala,0.7619047619047619,0.9886685552407932,1.0,1.0
Kab. Empat Lawang,Empat Lawang,0.8275862068965517,0.9891304347826086,1.0,1.0
Kab. Ende,Ende,0.6153846153846154,1.0,1.0,1.0
Kab. Enrekang,Enrekang,0.7619047619047619,0.9954545454545455,1.0,1.0
Kab. Fak-Fak,Fakfak,0.5555555555555556,0.9824561403508771,1.0,1.0
Kab. Flores Timur,Flores Timur,0.8275862068965517,1.0,1.0,1.0
Kab. Garut,Garut,0.6666666666666666,0.9981072555205047,1.0,1.0
Kab. Gayo Lues,Gayo Lues,0.782608695652174,1.0,1.0,1.0
Kab. Gianyar,Gianyar,0.7368421052631579,1.0,1.0,1.0
Kab. Gorontalo,Gorontalo,0.782608695652174,0.9865771812080537,1.0,1.0
Kab. Gorontalo Utara,Gorontalo Utara,0.8571428571428571,0.9851851851851852,1.0,1.0
Kab. Gowa,Gowa,0.6153846153846154,0.9927710843373494,1.0,1.0
Kab. Gresik,Gresik,0.7058823529411765,0.9845132743362832,1.0,1.0
Kab. Grobogan,Grobogan,0.7619047619047619,0.9987623762376238,1.0,1.0
Kab. Gunung Kidul,Gunung Kidul,0.8275862068965517,0.9936305732484076,1.0,1.0
Kab. Gunung Mas,Gunung Mas,0.8,0.9717514124293786,1.0,1.0
Kab. Halmahera Barat,Halmahera Barat,0.8571428571428571,0.9828571428571429,1.0,1.0
Kab. Halmahera Selatan,Halmahera Selatan,0.8717948717948718,1.0,1.0,1.0
Kab. Halmahera Tengah,Halmahera Tengah,0.8648648648648649,1.0,1.0,1.0
Kab. Halmahera Timur,Halmahera Timur,0.8571428571428571,1.0,1.0,1.0
Kab. halmahera Utara,Halmahera Utara,0.8,1.0,1.0,1.0
Kab. Hulu Sungai Selatan,Hulu Sungai Selatan,0.8837209302325582,0.9917695473251029,1.0,1.0
Kab. Hulu Sungai Tengah,Hulu Sungai Tengah,0.8780487804878049,1.0,1.0,1.0
Kab. Hulu Sungai Utara,Hulu Sungai Utara,0.8717948717948718,0.9945652173913043,1.0,1.0
Kab. Humbang Hasudutan,Humbang Hasundutan,0.85,0.9770642201834863,1.0,1.0
Kab. Indragiri Hilir,Indragiri Hilir,0.8571428571428571,0.982725527831094,1.0,1.0
Kab. Indragiri Hulu,Indragiri Hulu,0.8484848484848485,0.996742671009772,1.0,1.0
Kab. Indramayu,Indramayu,0.782608695652174,0.9988876529477196,1.0,1.0
Kab. Intan Jaya,Intan Jaya,0.8,0.9444444444444444,1.0,1.0
Kab. Jaya Wijaya,Jayawijaya,0.6923076923076923,1.0,1.0,1.0
Kab. Jayapura,Jayapura,0.7619047619047619,0.9924812030075187,1.0,1.0
Kab. Jember,Jember,0.7058823529411765,1.0,1.0,1.0
Kab. Jembrana,Jembrana,0.7619047619047619,1.0,1.0,1.0
Kab. Jeneponto,Jeneponto,0.782608695652174,0.9965277777777778,1.0,1.0
Kab. Jepara,Jepara,0.7058823529411765,0.9865996649916248,1.0,1.0
Kab. Jombang,Jombang,0.7368421052631579,1.0,1.0,1.0
Kab. Kaimana,Kaimana,0.7368421052631579,0.8620689655172413,1.0,1.0
Kab. Kampar,Kampar,0.7058823529411765,0.9614604462474645,1.0,1.0
Kab. Kapuas,Kapuas,0.7058823529411765,0.9102244389027432,1.0,1.0
Kab. Kapuas Hulu,Kapuas Hulu,0.8148148148148148,1.0,1.0,1.0
Kab. Karang Asem,Karangasem,0.6923076923076923,1.0,1.0,1.0
Kab. Karanganyar,Karanganyar,0.8148148148148148,0.992,1.0,1.0
Kab. Karawang,Karawang,0.7619047619047619,0.9988998899889989,1.0,1.0
Kab. Karimun,Karimun,0.7368421052631579,1.0,1.0,1.0
Kab. Karo,Karo,0.6153846153846154,0.9931972789115646,1.0,1.0
Kab. Katingan,Katingan,0.7619047619047619,0.966824644549763,1.0,1.0
Kab. Kaur,Kaur,0.6153846153846154,1.0,1.0,1.0
Kab. Kayong Utara,Kayong Utara,0.8275862068965517,0.9902912621359223,1.0,1.0
Kab. Kebumen,Kebumen,0.7368421052631579,1.0,1.0,1.0
Kab. Bandung Barat,Bandung Barat,0.8387096774193549,0.9929676511954993,1.0,1.0
Kab. Banggai,Banggai,0.7368421052631579,0.9606741573033708,1.0,1.0
Kab. Kediri,Kediri,0.7058823529411765,0.9985272459499264,1.0,1.0
Kab. Keerom,Keerom,0.7058823529411765,0.9863013698630136,1.0,1.0
Kab. Kendal,Kendal,0.7058823529411765,0.9982578397212544,1.0,1.0
Kab. Kep. Sangihe,Kepulauan Sangihe,0.6470588235294118,0.9951690821256038,1.0,1.0
Kab. Kepahiang,Kepahiang,0.782608695652174,1.0,1.0,1.0
Kab. Kepulauan Anambas,Kepulauan Anambas,0.8717948717948718,0.9104477611940298,1.0,1.0
Kab. Kepulauan Aru,Kepulauan Aru,0.8387096774193549,1.0,1.0,1.0
Kab. Kepulauan Mentawai,Kepulauan Mentawai,0.8780487804878049,1.0,1.0,1.0
