provinsi,kab_kota,url
Prov. Jawa Tengah,Kab. Purworejo,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/030600
Prov. Jawa Tengah,Kab. Semarang,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/032200
Prov. Jawa Tengah,Kab. Demak,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/032100
Prov. Jawa Tengah,Kab. Pekalongan,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/032600
Prov. Jawa Tengah,Kab. Karanganyar,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/031300
Prov. Jawa Tengah,Kab. Wonosobo,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/030700
Prov. Jawa Tengah,Kab. Sukoharjo,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/031100
Prov. Jawa Tengah,Kab. Purbalingga,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/030300
Prov. Jawa Tengah,Kab. Batang,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/032500
Prov. Jawa Tengah,Kab. Temanggung,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/032300
Prov. Jawa Tengah,Kab. Kudus,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/031900
Prov. Jawa Tengah,Kab. Rembang,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/031700
Prov. Jawa Tengah,Kota Surakarta,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/036100
Prov. Jawa Tengah,Kota Tegal,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/036500
Prov. Jawa Tengah,Kota Salatiga,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/036200
Prov. Jawa Tengah,Kota Pekalongan,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/036400
Prov. Jawa Tengah,Kota Magelang,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/036000
Prov. Sumatera Utara,Kota Medan,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/076000
Prov. Sumatera Utara,Kab. Deli Serdang,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/070100
Prov. Sumatera Utara,Kab. Simalungun,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/070400
Prov. Sumatera Utara,Kab. Langkat,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/070200
Prov. Sumatera Utara,Kab. Serdang Bedagai,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/072100
Prov. Sumatera Utara,Kab. Asahan,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/070600
Prov. Sumatera Utara,Kab. Nias Selatan,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/071700
Prov. Sumatera Utara,Kab. Mandailing Natal,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/071500
Prov. Sumatera Utara,Kab. Tapanuli Utara,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/070800
Prov. Sumatera Utara,Kab. Tapanuli Tengah,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/070900
Prov. Sumatera Utara,Kab. Labuhan Batu,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/070700
Prov. Sumatera Utara,Kab. Karo,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/070300
Prov. Sumatera Utara,Kab. Labuhan Batu Utara,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/072500
Prov. Sumatera Utara,Kab. Dairi,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/070500
Prov. Sumatera Utara,Kab. Tapanuli Selatan,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/071000
Prov. Sumatera Utara,Kab. Batubara,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/072200
Prov. Sumatera Utara,Kab. Toba Samosir,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/071600
Prov. Sumatera Utara,Kab. Humbang Hasudutan,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/071900
Prov. Sumatera Utara,Kab. Labuhan Batu Selatan,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/072600
Prov. Sumatera Utara,Kab. Padang Lawas utara,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/072300
