provinsi,kab_kota,kecamatan,url
Prov. Jawa Barat,Kab. Sukabumi,Kec. Cidahu,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020624
Prov. Jawa Barat,Kab. Sukabumi,Kec. Bantar Gadung,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020633
Prov. Jawa Barat,Kab. Sukabumi,Kec. Kabandungan,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020630
Prov. Jawa Barat,Kab. Sukabumi,Kec. Tegalbuleud,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020606
Prov. Jawa Barat,Kab. Sukabumi,Kec. Purabaya,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020640
Prov. Jawa Barat,Kab. Sukabumi,Kec. Caringin,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020643
Prov. Jawa Barat,Kab. Sukabumi,Kec. Kalibunder,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020605
Prov. Jawa Barat,Kab. Sukabumi,Kec. Gunung Guruh,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020631
Prov. Jawa Barat,Kab. Sukabumi,Kec. Kadudampit,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020619
Prov. Jawa Barat,Kab. Sukabumi,Kec. Kalapa Nunggal,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020627
Prov. Jawa Barat,Kab. Sukabumi,Kec. Bojong Genteng,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020644
Prov. Jawa Barat,Kab. Sukabumi,Kec. Cikakak,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020632
Prov. Jawa Barat,Kab. Sukabumi,Kec. Pabuaran,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020609
Prov. Jawa Barat,Kab. Sukabumi,Kec. Sukabumi,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020618
Prov. Jawa Barat,Kab. Sukabumi,Kec. Parakansalak,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020625
Prov. Jawa Barat,Kab. Sukabumi,Kec. Lengkong,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020610
Prov. Jawa Barat,Kab. Sukabumi,Kec. Cireunghas,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020641
Prov. Jawa Barat,Kab. Sukabumi,Kec. Ciambar,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020647
Prov. Jawa Barat,Kab. Sukabumi,Kec. Sukalarang,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020642
Prov. Jawa Barat,Kab. Sukabumi,Kec. Cibitung,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020638
Prov. Jawa Barat,Kab. Sukabumi,Kec. Curugkembar,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020639
